epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,11953.3,0.94386,0.86233,0.55929,0.93288,0.9572,0.71092,0.82477,0.62593,0.96708,0.71826,0.81372,0.45537,0.79043,0.79119,0.48858,0.92359,0.0040105,0.0040105,0.0040105
123,12047.8,0.96102,0.84668,0.57977,0.93337,0.97023,0.71394,0.83169,0.62264,0.97514,0.71638,0.81074,0.46071,0.79773,0.77038,0.49122,0.92577,0.003961,0.003961,0.003961
124,12147.3,0.96226,0.84845,0.5695,0.93605,0.95214,0.72127,0.82807,0.6186,0.96779,0.71638,0.80997,0.46236,0.80893,0.79602,0.48969,0.93287,0.0039115,0.0039115,0.0039115
125,12243.2,0.94848,0.84508,0.56748,0.93119,0.9724,0.70905,0.82279,0.61683,0.98302,0.71149,0.80003,0.44579,0.81987,0.79984,0.48533,0.93641,0.003862,0.003862,0.003862
126,12336.5,0.95534,0.86349,0.56695,0.93498,0.96371,0.71883,0.82614,0.61498,0.97651,0.71145,0.80822,0.45441,0.83079,0.76581,0.48548,0.93652,0.0038125,0.0038125,0.0038125
127,12430.5,0.94792,0.85117,0.56604,0.93411,0.95116,0.71429,0.82632,0.61312,0.96678,0.70905,0.80804,0.44965,0.8337,0.78817,0.48987,0.93871,0.003763,0.003763,0.003763
128,12523.3,0.94932,0.84927,0.56617,0.93621,0.95755,0.71638,0.82131,0.61623,0.96081,0.71883,0.80633,0.45477,0.82125,0.76152,0.48643,0.9361,0.0037135,0.0037135,0.0037135
129,12616.1,0.95668,0.85778,0.56041,0.93653,0.96079,0.71898,0.82517,0.62484,0.95435,0.71559,0.8003,0.45629,0.81066,0.7767,0.47571,0.9377,0.003664,0.003664,0.003664
130,12710.4,0.93729,0.84731,0.5619,0.93208,0.95463,0.7203,0.82686,0.62596,0.95145,0.71883,0.80179,0.45379,0.80791,0.77402,0.48018,0.93525,0.0036145,0.0036145,0.0036145
131,12805.3,0.94709,0.84217,0.56645,0.92439,0.94874,0.72401,0.82973,0.62226,0.94234,0.7192,0.80466,0.4525,0.8108,0.78085,0.479,0.93558,0.003565,0.003565,0.003565
132,12898.6,0.95373,0.83984,0.56252,0.93611,0.95138,0.71771,0.82508,0.62159,0.96031,0.70981,0.80195,0.46088,0.79702,0.77276,0.47586,0.93168,0.0035155,0.0035155,0.0035155
133,12991.8,0.95386,0.85559,0.56631,0.9366,0.97138,0.71394,0.82591,0.62532,0.96806,0.71149,0.80153,0.45873,0.78744,0.77311,0.47038,0.92704,0.003466,0.003466,0.003466
134,13085,0.94454,0.85219,0.56285,0.93446,0.97315,0.70886,0.82933,0.63042,0.96979,0.70642,0.80151,0.45481,0.79177,0.79741,0.47375,0.92657,0.0034165,0.0034165,0.0034165
135,13178.3,0.92976,0.84242,0.55666,0.93065,0.96609,0.70905,0.82861,0.62727,0.96275,0.7066,0.79831,0.45415,0.79385,0.81358,0.47309,0.92675,0.003367,0.003367,0.003367
136,13271.8,0.93803,0.85142,0.55407,0.93535,0.97323,0.71149,0.83661,0.62917,0.97658,0.71394,0.80954,0.45546,0.80133,0.78726,0.47411,0.93334,0.0033175,0.0033175,0.0033175
137,13365,0.92644,0.83377,0.55497,0.92589,0.96831,0.7066,0.83338,0.6254,0.96598,0.70416,0.80157,0.45147,0.81232,0.77568,0.47479,0.93949,0.003268,0.003268,0.003268
138,13459.7,0.92916,0.85251,0.55882,0.93002,0.97176,0.71149,0.8283,0.62505,0.96842,0.70905,0.80629,0.45344,0.80179,0.77639,0.46838,0.93128,0.0032185,0.0032185,0.0032185
139,13554.5,0.92527,0.82759,0.55021,0.92879,0.96492,0.70905,0.83204,0.63023,0.96492,0.70905,0.80698,0.45367,0.79822,0.75908,0.4722,0.92589,0.003169,0.003169,0.003169
140,13648.5,0.93494,0.81849,0.55906,0.9291,0.97648,0.71068,0.8307,0.62555,0.97648,0.71068,0.80688,0.45172,0.79954,0.78583,0.46403,0.93093,0.0031195,0.0031195,0.0031195
141,13742.9,0.93895,0.84453,0.55935,0.93418,0.96376,0.71521,0.83428,0.63116,0.97035,0.7201,0.81539,0.456,0.79986,0.79001,0.46655,0.93184,0.00307,0.00307,0.00307
142,13837.2,0.94469,0.83334,0.56754,0.93191,0.9514,0.71793,0.82832,0.63299,0.95151,0.71959,0.80939,0.45369,0.79751,0.80388,0.47168,0.93258,0.0030205,0.0030205,0.0030205
143,13930.9,0.92159,0.82339,0.55681,0.9245,0.95807,0.71883,0.83226,0.63422,0.95807,0.71883,0.81326,0.45369,0.78631,0.81081,0.46978,0.92714,0.002971,0.002971,0.002971
144,14025,0.92098,0.82544,0.55198,0.9263,0.96699,0.71629,0.83153,0.63231,0.97029,0.71859,0.81406,0.45301,0.78181,0.78513,0.46411,0.92345,0.0029215,0.0029215,0.0029215
145,14118.8,0.91606,0.82793,0.54747,0.92847,0.97674,0.71868,0.83518,0.6338,0.97489,0.71394,0.81206,0.45407,0.77756,0.78902,0.46198,0.92336,0.002872,0.002872,0.002872
146,14212.3,0.90342,0.81612,0.54262,0.92465,0.96937,0.71883,0.83378,0.63616,0.9735,0.71846,0.81576,0.45558,0.78731,0.79517,0.4645,0.93222,0.0028225,0.0028225,0.0028225
147,14306.8,0.92936,0.8184,0.55389,0.93282,0.97046,0.72279,0.83613,0.63148,0.96389,0.7179,0.8098,0.45088,0.79817,0.79567,0.46582,0.93483,0.002773,0.002773,0.002773
148,14400.5,0.91292,0.82441,0.54335,0.92438,0.96716,0.72015,0.83579,0.63221,0.9606,0.71526,0.80482,0.4511,0.8032,0.8068,0.46535,0.939,0.0027235,0.0027235,0.0027235
149,14493.7,0.90829,0.82102,0.54173,0.92582,0.97663,0.71538,0.83408,0.63144,0.97663,0.71538,0.80804,0.4518,0.7997,0.7904,0.46446,0.93701,0.002674,0.002674,0.002674
150,14588,0.91201,0.83796,0.53929,0.92703,0.9609,0.72372,0.83745,0.6298,0.96374,0.7148,0.80485,0.45428,0.79593,0.76974,0.46319,0.93538,0.0026245,0.0026245,0.0026245
151,14681.3,0.90409,0.82692,0.54035,0.91811,0.96406,0.72137,0.83589,0.63174,0.95938,0.71638,0.80447,0.45666,0.7879,0.76561,0.46789,0.93155,0.002575,0.002575,0.002575
152,14774.6,0.91768,0.8426,0.54454,0.92566,0.96695,0.72127,0.83268,0.63647,0.95376,0.71149,0.80017,0.4525,0.77437,0.77397,0.46354,0.92223,0.0025255,0.0025255,0.0025255
153,14867.4,0.89942,0.80884,0.5367,0.92835,0.9744,0.72127,0.83383,0.63617,0.96094,0.71149,0.80324,0.45523,0.7785,0.78829,0.46133,0.92108,0.002476,0.002476,0.002476
154,14961,0.91659,0.8156,0.5395,0.92887,0.95832,0.73074,0.83502,0.63784,0.9423,0.71873,0.80085,0.4579,0.77693,0.78022,0.45807,0.9217,0.0024265,0.0024265,0.0024265
155,15054.6,0.90905,0.80613,0.54151,0.92568,0.96975,0.72372,0.8376,0.63562,0.95992,0.71638,0.81126,0.45928,0.77768,0.77968,0.45479,0.92572,0.002377,0.002377,0.002377
156,15147.9,0.90101,0.83869,0.54699,0.92758,0.96814,0.72372,0.8396,0.63424,0.95833,0.71638,0.81054,0.45588,0.7854,0.77435,0.45739,0.92817,0.0023275,0.0023275,0.0023275
157,15241.2,0.91474,0.83013,0.54141,0.92037,0.95802,0.72541,0.83764,0.63132,0.94834,0.71808,0.80977,0.45493,0.79104,0.78191,0.46541,0.92839,0.002278,0.002278,0.002278
158,15333.9,0.89734,0.78974,0.53558,0.92829,0.95981,0.72372,0.83489,0.63323,0.95333,0.71883,0.81129,0.45135,0.79218,0.8066,0.46588,0.92659,0.0022285,0.0022285,0.0022285
159,15426.9,0.89334,0.80968,0.52652,0.9234,0.96102,0.72337,0.83444,0.63294,0.95452,0.71848,0.81131,0.45245,0.79439,0.79713,0.46845,0.92757,0.002179,0.002179,0.002179
160,15520.6,0.88696,0.83344,0.53408,0.92325,0.95465,0.72058,0.83382,0.63385,0.94493,0.71325,0.80144,0.45396,0.78679,0.79076,0.46269,0.92497,0.0021295,0.0021295,0.0021295
161,15612.7,0.89334,0.81609,0.53061,0.92384,0.96872,0.71638,0.83404,0.63513,0.95845,0.70905,0.80373,0.45029,0.78025,0.7966,0.46272,0.92492,0.00208,0.00208,0.00208
162,15705.2,0.90035,0.80798,0.53128,0.92533,0.97345,0.71712,0.83367,0.63351,0.96681,0.71223,0.80678,0.45407,0.77816,0.77049,0.45866,0.9252,0.0020305,0.0020305,0.0020305
163,15799.2,0.88456,0.83017,0.52945,0.92206,0.9779,0.71883,0.83552,0.63687,0.9733,0.71304,0.8113,0.45103,0.77585,0.78124,0.45804,0.92432,0.001981,0.001981,0.001981
164,15892,0.90095,0.82545,0.53148,0.92367,0.97376,0.71638,0.83374,0.63609,0.97169,0.71394,0.81406,0.45655,0.776,0.78031,0.4527,0.92774,0.0019315,0.0019315,0.0019315
165,15984.4,0.89131,0.81057,0.52582,0.92164,0.96399,0.72005,0.83385,0.63589,0.97322,0.71081,0.81237,0.45765,0.77721,0.78054,0.45189,0.92926,0.001882,0.001882,0.001882
166,16077.2,0.88867,0.80669,0.52983,0.92099,0.97192,0.71883,0.83815,0.63708,0.97004,0.71149,0.81246,0.45804,0.77722,0.79018,0.45181,0.92809,0.0018325,0.0018325,0.0018325
167,16169.9,0.88432,0.79635,0.52627,0.922,0.95524,0.72372,0.83631,0.6342,0.97163,0.70905,0.81563,0.45815,0.77517,0.79459,0.45456,0.92666,0.001783,0.001783,0.001783
168,16261.6,0.88717,0.80552,0.52535,0.92064,0.97031,0.71927,0.83656,0.63386,0.96372,0.71438,0.81542,0.45686,0.77502,0.80497,0.45651,0.92585,0.0017335,0.0017335,0.0017335
169,16353.7,0.89273,0.7857,0.53056,0.92423,0.96774,0.71394,0.83425,0.63774,0.97079,0.71149,0.81604,0.45403,0.7772,0.80687,0.45524,0.92568,0.001684,0.001684,0.001684
170,16447.1,0.88816,0.79185,0.52882,0.91662,0.9677,0.71638,0.83731,0.64164,0.96398,0.7066,0.80951,0.4565,0.77407,0.80663,0.45179,0.92445,0.0016345,0.0016345,0.0016345
171,16538.1,0.88035,0.79316,0.53047,0.91741,0.96412,0.72268,0.83515,0.63935,0.95434,0.71539,0.81122,0.45714,0.77341,0.80443,0.4504,0.92346,0.001585,0.001585,0.001585
172,16631.1,0.86213,0.79945,0.52059,0.91248,0.95969,0.72127,0.8339,0.64093,0.95318,0.71638,0.80671,0.45769,0.7746,0.79697,0.4511,0.92376,0.0015355,0.0015355,0.0015355
173,16724.2,0.88074,0.79392,0.52116,0.91656,0.9578,0.72137,0.83523,0.64131,0.95457,0.71923,0.81124,0.45644,0.77011,0.80226,0.44916,0.92125,0.001486,0.001486,0.001486
174,16818.1,0.86356,0.80277,0.51429,0.91465,0.96711,0.71884,0.83612,0.64569,0.96382,0.7164,0.81444,0.46184,0.77181,0.78992,0.44722,0.92069,0.0014365,0.0014365,0.0014365
175,16910.5,0.87236,0.80601,0.51285,0.91561,0.96707,0.71811,0.83568,0.64533,0.96378,0.71567,0.81358,0.46279,0.77182,0.78591,0.44656,0.92113,0.001387,0.001387,0.001387
176,17004.3,0.87009,0.77684,0.51139,0.92006,0.97069,0.71394,0.83633,0.6444,0.96325,0.71883,0.81408,0.45895,0.77291,0.78492,0.44727,0.92192,0.0013375,0.0013375,0.0013375
177,17097.3,0.87653,0.78323,0.517,0.92085,0.96708,0.71829,0.83509,0.64251,0.96379,0.71584,0.81092,0.45643,0.77535,0.79847,0.45013,0.9231,0.001288,0.001288,0.001288
178,17189.8,0.86336,0.79549,0.51673,0.91448,0.96703,0.71708,0.83471,0.64168,0.96044,0.71223,0.80847,0.45687,0.77523,0.79519,0.44929,0.92367,0.0012385,0.0012385,0.0012385
179,17282.4,0.87569,0.77511,0.51335,0.92089,0.96077,0.71883,0.8346,0.64276,0.9575,0.71638,0.81002,0.45545,0.77475,0.79069,0.44757,0.92449,0.001189,0.001189,0.001189
180,17375.2,0.85698,0.77912,0.50663,0.9169,0.96055,0.71883,0.83497,0.6428,0.95402,0.71394,0.80587,0.45447,0.77599,0.79209,0.44844,0.92632,0.0011395,0.0011395,0.0011395
181,17472.1,0.8693,0.79014,0.51595,0.91668,0.9634,0.71883,0.83441,0.64343,0.9568,0.71394,0.80963,0.45619,0.77503,0.80349,0.4487,0.9269,0.00109,0.00109,0.00109
182,17566.2,0.86567,0.77725,0.50544,0.91841,0.96616,0.71883,0.83452,0.64057,0.95959,0.71394,0.80871,0.45438,0.77453,0.80496,0.44917,0.92751,0.0010405,0.0010405,0.0010405
183,17661.9,0.86835,0.78423,0.50865,0.91731,0.96647,0.71883,0.83441,0.64013,0.95981,0.71394,0.80932,0.45569,0.77254,0.80574,0.45096,0.92699,0.000991,0.000991,0.000991
184,17756,0.87108,0.78273,0.50951,0.91629,0.96199,0.71883,0.83378,0.64088,0.95544,0.71394,0.80902,0.45832,0.77083,0.79979,0.45068,0.92672,0.0009415,0.0009415,0.0009415
185,17850.1,0.85347,0.79242,0.50665,0.91391,0.96065,0.71883,0.8338,0.64211,0.95738,0.71638,0.80993,0.45724,0.77104,0.79737,0.44984,0.92633,0.000892,0.000892,0.000892
186,17943.2,0.85941,0.79492,0.51148,0.9218,0.95915,0.71883,0.83387,0.64229,0.95583,0.71638,0.80946,0.45708,0.77006,0.79934,0.44901,0.92631,0.0008425,0.0008425,0.0008425
187,18036.6,0.85389,0.79108,0.50514,0.915,0.95799,0.71883,0.83347,0.64043,0.95473,0.71638,0.80966,0.456,0.77087,0.80204,0.44798,0.92709,0.000793,0.000793,0.000793
188,18130.1,0.85716,0.79388,0.50174,0.91132,0.96037,0.71883,0.83347,0.64213,0.95384,0.71394,0.80619,0.45609,0.76889,0.79889,0.44763,0.92672,0.0007435,0.0007435,0.0007435
189,18223.7,0.8613,0.78269,0.50526,0.91764,0.95702,0.71883,0.83364,0.64307,0.95051,0.71394,0.80811,0.45642,0.76691,0.80232,0.44706,0.92537,0.000694,0.000694,0.000694
190,18317.1,0.84623,0.78459,0.50231,0.91242,0.95485,0.71883,0.83373,0.64313,0.94836,0.71394,0.81075,0.4551,0.76651,0.8105,0.44679,0.92549,0.0006445,0.0006445,0.0006445
191,18404.2,0.72413,0.69946,0.4502,0.89256,0.95379,0.71883,0.83387,0.64287,0.9473,0.71394,0.81175,0.4543,0.76729,0.81114,0.44651,0.92568,0.000595,0.000595,0.000595
192,18491,0.73382,0.69061,0.43929,0.89421,0.95756,0.71709,0.83508,0.64357,0.95103,0.7122,0.8125,0.45693,0.76622,0.81504,0.44676,0.92549,0.0005455,0.0005455,0.0005455
193,18578.9,0.72949,0.69949,0.43977,0.89677,0.95759,0.71768,0.83577,0.6435,0.95107,0.71279,0.81004,0.45424,0.76717,0.81976,0.44603,0.92652,0.000496,0.000496,0.000496
194,18665.6,0.72377,0.6917,0.43177,0.89145,0.95764,0.71855,0.83614,0.64362,0.94786,0.71122,0.80517,0.45226,0.76739,0.8243,0.44629,0.92682,0.0004465,0.0004465,0.0004465
195,18752.5,0.7182,0.6958,0.43556,0.8937,0.9603,0.72127,0.83832,0.64376,0.94728,0.71149,0.80759,0.45192,0.76801,0.82627,0.44573,0.92728,0.000397,0.000397,0.000397
196,18839.1,0.71288,0.70386,0.42977,0.8907,0.96288,0.72127,0.8383,0.64304,0.94983,0.71149,0.81127,0.45109,0.76847,0.8243,0.44574,0.92758,0.0003475,0.0003475,0.0003475
197,18925.6,0.71234,0.6859,0.42836,0.89484,0.96408,0.7218,0.83852,0.64248,0.95101,0.71202,0.81176,0.45404,0.76936,0.82231,0.44588,0.92816,0.000298,0.000298,0.000298
198,19012.3,0.71006,0.68118,0.43063,0.887,0.96719,0.72074,0.83865,0.6428,0.95407,0.71096,0.81233,0.45354,0.76976,0.82263,0.44569,0.92824,0.0002485,0.0002485,0.0002485
199,19099.3,0.7136,0.6904,0.43472,0.89091,0.96721,0.72112,0.83877,0.643,0.95409,0.71144,0.8101,0.45414,0.77025,0.82353,0.44607,0.92864,0.000199,0.000199,0.000199
200,19186,0.71157,0.67928,0.42619,0.89138,0.96376,0.71883,0.83609,0.64252,0.95366,0.71149,0.81014,0.45336,0.77004,0.82338,0.44601,0.92839,0.0001495,0.0001495,0.0001495
