epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3098,1.18631,1.0461,0.72816,0.99136,0.94006,0.68704,0.77726,0.52441,0.94006,0.68704,0.77801,0.41057,1.0657,0.91682,0.68336,1.00151,0.0085645,0.0085645,0.0085645
31,3199.54,1.17471,1.04621,0.72235,0.99723,0.94148,0.70905,0.79524,0.53389,0.94,0.7066,0.7795,0.39682,1.03221,1.04937,0.69644,0.99114,0.008515,0.008515,0.008515
32,3296.65,1.19165,1.05608,0.73498,0.9966,0.91929,0.70416,0.78419,0.53483,0.92583,0.70905,0.77982,0.42188,1.03908,0.90496,0.66038,1.0079,0.0084655,0.0084655,0.0084655
33,3394.49,1.16629,1.04943,0.71215,0.9895,0.92099,0.71249,0.78837,0.55004,0.93339,0.70171,0.7659,0.40806,0.98123,0.93733,0.63052,0.98097,0.008416,0.008416,0.008416
34,3492.06,1.13567,1.00071,0.70042,0.9823,0.95633,0.69927,0.79168,0.55715,0.94629,0.69193,0.76989,0.39763,0.99167,1.04706,0.62281,0.96246,0.0083665,0.0083665,0.0083665
35,3589.16,1.16504,1.04867,0.70706,0.99123,0.93275,0.70905,0.78612,0.5237,0.93596,0.71149,0.77105,0.40344,1.00819,0.86111,0.65487,1.00543,0.008317,0.008317,0.008317
36,3686.07,1.15667,1.01128,0.70003,0.98519,0.94972,0.70905,0.787,0.53426,0.93723,0.70416,0.77241,0.41043,1.03657,0.96738,0.65017,0.98347,0.0082675,0.0082675,0.0082675
37,3784.18,1.1308,1.0305,0.7035,0.97895,0.93454,0.69811,0.78064,0.52218,0.93781,0.70056,0.77225,0.41461,1.01623,0.82921,0.65904,1.00748,0.008218,0.008218,0.008218
38,3881.2,1.13517,0.99195,0.68719,0.97534,0.94747,0.70555,0.78959,0.5496,0.96391,0.69927,0.77796,0.43214,0.99359,0.91904,0.62181,0.98576,0.0081685,0.0081685,0.0081685
39,3978.67,1.12922,0.99607,0.69398,0.97346,0.93985,0.7066,0.80042,0.54974,0.94311,0.70905,0.79754,0.41363,0.97093,0.95223,0.62361,0.97503,0.008119,0.008119,0.008119
40,4075.33,1.11666,0.99281,0.6852,0.97606,0.93204,0.7066,0.78661,0.54767,0.94157,0.70416,0.77246,0.41908,0.98367,0.92007,0.65688,0.98404,0.0080695,0.0080695,0.0080695
41,4172.26,1.12782,1.01127,0.6932,0.9838,0.9578,0.71394,0.79514,0.53655,0.9578,0.71394,0.78175,0.41449,1.01824,0.85343,0.64341,0.9943,0.00802,0.00802,0.00802
42,4270.04,1.13791,1.01704,0.70131,0.97994,0.95748,0.7157,0.80475,0.55724,0.95092,0.71063,0.78916,0.42959,0.9634,0.87179,0.6168,0.96806,0.0079705,0.0079705,0.0079705
43,4367.92,1.12679,0.99554,0.69211,0.97375,0.95574,0.71149,0.79533,0.55094,0.95902,0.71394,0.78236,0.43549,0.992,0.87523,0.62113,0.97034,0.007921,0.007921,0.007921
44,4464.62,1.12602,0.99419,0.68983,0.97292,0.93454,0.7066,0.79367,0.55619,0.93422,0.70171,0.77372,0.42659,0.96863,0.90536,0.62666,0.96676,0.0078715,0.0078715,0.0078715
45,4561.5,1.11764,0.99497,0.67789,0.96649,0.95977,0.69987,0.80135,0.56014,0.96982,0.70714,0.79255,0.43137,0.97626,0.87428,0.59909,0.96944,0.007822,0.007822,0.007822
46,4658.71,1.11611,0.98967,0.67459,0.96878,0.94527,0.71782,0.78913,0.5573,0.93204,0.70418,0.77664,0.42346,0.99488,0.87143,0.61735,0.98189,0.0077725,0.0077725,0.0077725
47,4754.73,1.11128,0.97024,0.67782,0.97923,0.94212,0.7066,0.79363,0.53396,0.95707,0.71149,0.79396,0.42237,1.0072,0.89634,0.6258,1.00822,0.007723,0.007723,0.007723
48,4851.22,1.13267,0.99965,0.67397,0.97926,0.97071,0.70171,0.80503,0.55666,0.97071,0.70171,0.78127,0.42633,0.97622,0.81355,0.58965,0.97644,0.0076735,0.0076735,0.0076735
49,4949.46,1.099,0.98044,0.66393,0.97472,0.96084,0.70905,0.80235,0.55836,0.96154,0.70905,0.78346,0.41352,0.96702,0.96774,0.59808,0.97167,0.007624,0.007624,0.007624
50,5049.7,1.10038,0.96696,0.66901,0.96694,0.93306,0.71573,0.80527,0.56003,0.95318,0.69927,0.78425,0.43303,0.96973,0.81363,0.61267,0.97288,0.0075745,0.0075745,0.0075745
51,5148.5,1.10573,0.97395,0.67542,0.96931,0.96678,0.71158,0.80569,0.5657,0.96678,0.71158,0.78847,0.43714,0.96482,0.8036,0.60545,0.97138,0.007525,0.007525,0.007525
